id	title	author	date	a	b	c	d	e
260727	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. II.	Klopstock, Friedrich Gottlieb	1811	['Translation']	['Title page']	['German']		['From the German of Klopstock.']
260752	Amatonda. A Tale, From the German of Anton Wall.	Wall, Anton	1811	['Translation']	['Title Page']			['From the German of Anton Wall']
260759	The messiah: From the German of Klopstock. The first sixteen books by Mrs. Collver, and the three last by Mrs. Meeke. To which is prefixed, an introduction on divine poetry. In two volumes. Vol. I.	Klopstock, Friedrich Gottlieb	1811	['Translation']	['Title page']	['German']	['']	['From the German of Klopstock.']
260929	Eloisa; a series of original letters. Translated from the French of J.J. Rousseau. To which are added, the adventures of Lord B___ at Rome; being the sequel of Eloisa. (Found among the author's papers after his decease.) In three volumes. Vol. I.	Rousseau, Jean-Jacques	1810	['Translation']	['Preface']	['French']		['Preface by the Translator']
276087	Horrid mysteries. A story. From the German of the Marquis of Grosse. By P. Will. In four volumes. Vol. I.	Grosse, Carl	1796	['Translation']	['Title page']	['German']		['From the German of the Marquis of Grosse.']
276105	Young Grandison. A series of letters from young persons to their friends. Translated from the Dutch of Madame de Cambon. With alterations and improvements. In two volumes. Vol. I.	Cambon	1790	['Translation']	['Title page']	['Dutch']		['Translated from the Dutch of Madame de Cambon. With alterations and improvements.']
440270	The empire of the Nairs; or, the rights of women. An utopian romance, in twelve books. By James Lawrence, author of The bosom friend, Love, an allegory, etc. In four volumes. Vol. I. Second edition.	Lawrence, James	1813	['Translation']	['Advertisement']	['German']		['The author of this work being in Germany in 1793, communicated his essay on the Nair system to the celebrated Wieland...Notwithstanding the flattering manner in which this work has been recieved on the continent, the author has been continually revising it; but having lately heard that a man of letters has not only translated it into English, but has already delivered his manuscript to a bookseller, he feels the neccesity of not longer delaying this publication, which, whatever may be its success, must be more acceptable to the public than a literal translation of the first German edition.']
440290	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Translation']	['To the Reader']	['English', 'French']	['Greek']	['A MS. copy was transmitted to me in Paris, with a request that I would forthwith see it translated into the English and French languages.']
440305	Elizabeth, or, the exiles of Siberia, translated by Mrs. Meeke.  	Cottin, Madame (Sophie),	1814	['Translation']	['Title page']	['French']		['From the French of Madame de Cottin.']
440332	Modern chivalry, containing the adventures of a captain, and Teague O'Regan, his servant.	Brackenridge, H. H	1825	['Adaptation']	['Postscript']			["I had originally begun this work in verse, and have a volume by me, about two parts in three as large as Bulter's Hudibrass; from which composition I have extracted this; thinking it might be more acceptable in prose. When I visit this city next, I may produce that in verse, and let the people take their choice."]
440354	A few days in Athens, being the translation of a Greek manuscript discovered in Herculaneum. By Frances Wright, author of ""views of society and manners in America.""	Wright, Frances,	1822	['Translation']	['To the Reader']	['English', 'French']	['Greek']	['A MS. copy was transmitted to me in Paris, with a request that I would forthwith see it translated into the English and French languages.']
440369	Elizabeth, or, the exiles of Siberia, translated by Mrs. Meeke.  	Cottin, Madame (Sophie),	1814	['Translation']	['Title page']	['French']		['From the French of Madame de Cottin.']
440382	Modern chivalry, containing the adventures of a captain, and Teague O'Regan, his servant.	Brackenridge, H. H	1825	['Adaptation']	['Postscript']			["I had originally begun this work in verse, and have a volume by me, about two parts in three as large as Bulter's Hudibrass; from which composition I have extracted this; thinking it might be more acceptable in prose. When I visit this city next, I may produce that in verse, and let the people take their choice."]
440410	The adventures of Gil Blas. Translated from the French of Le Sage by Tobias Smollet, MD. Vol. I.	Le Sage, Alain-RenÈ	1809	['Translation']	['Title page']	['French']		['Translated from the french of Le Sage by T. Smollet. M.D.']
440411	The castle of otranto. a gothic story. Translated by William Marshal, gent. From the original italian of Onuphrio Muralto, canon of the church of St. Nicholas at otranto. The sixth edition.	Walpole, Horace	1791	['Translation']	['Preface']	['Italian']		["It is natural for a translator to be prejudiced in favor of his adopted work.... Yet I am not blind to my author's defects.... I hope I may be encouraged to reprint the original Italian."]
6393920		Ducray-Duminil	1797	['Translated adaptation']	['Advertisement']	['French']		['""The design of the editor in the present free and abridged translation of Fanfan & Lolotte..."']
3480400	Tales of the tripod; or a Delphian evening. By Pertinax Particular.	Watkins, Tobias	1821	['Translation']	['Preface']	['German']		['The first tale, entitled ""Adventures of a Watchman,"" is taken from an anonymous German correspondent of the \'Leesfruchte\'. It pleased me, and I did it into English, expressly to amuse the Delphian club."']
6996611	Letters from the Bahama islands. Written in 1823-4.	Hart	1827	['Translation']	['To the Reader']	['Italian']		['the manuscript [...] was written in a fair, but illegible, Italian hand.']
75774	Memoirs of the year two thousand five hundred. Translated from the French, by W. Hooper, M.A.	Mercier, Louis-SeÃÅbastien	1795	['Translation']	['Title Page']	['French']		['Translated from the French, by W. Hooper, M.A.']
9492	The widow of the village, or, Adventures of innocence. A moral tale, by the celebrated Marmontel. Translated from the original French, by Mr. Heron. To which is added, the error of a good father.	Marmontel, Jean FranÁois	1799	['Translation']	['Title page']	['French']		['Translated from the original French, by Mr. Heron.']
ocn480433456	The death of Cain, in five books. According to the manner of the death of Abel by Mr. Gessner.	Collyer, Mary	1813	['Revision']	['Preface']			
ocn271241011	Laura; or, the influence of a kiss. Bij A. H. Geszner. Translated from the German.	Meltzer, Adolph Heinrich	1796	['Translation']	['Title page']	['German']	['English']	['Translated from the German.']
ocn892596217	Bardouc; or, the goat-herd of Mount Taurus: an eastern tale. Translated from the French of Adrien de Sarrazin.	Sarrazin, Adrien de	1815	['Translation']	['Title Page']	['French']		['Translated from the French']
ocm07032578 	Winter tales, or European nights entertainments by Maria Scott.	Scott, Maria	1825	['Translation']	['Table of contents']	['French']		["The monks of La Trappe: translated from the French of M. D'Arnaud: and founded on fact."]
ocm08634631 	The ruling passion. A comic story, of the sixteenth century. Revived, revised, and edited, by Philip Francis Sidney, author of ""The hermit in York,"" and various other popular works.	Sidney, Philip Francis	1821	['Revision']	['Full title page']			['Revived, revised, and edited']
429311	The blossoms of morality; intended for the amusement and instruction of young ladies and gentlemen. By the editor of The looking-glass for the mind. With forty-seven cuts, designed and engraved by I. Bewick. The fifth edition.	Johnson, R.	1810	['Adaptation']	['Preface']	['French']		['The Looking-glass is a very free translation of some of the most interesting tales of Mons. Berquin and other foreign writers [...]. With respect to the present work, though we have not so largely borrowed from foreign writers, yet we have endeavored to supply that deficiency by the introduction of original matter.']
429368	Rural poems. Translated from the original German, of M. Gesner.	Gessner, Salomon	1796	['Translation']	['Full title page']	['German']		['Translated from the original german']
430720	The shepherdess of Aranville: a romance.  Translated from the French of M. Liomin.  And dedicated by permission to her Royal Highness the Duchess of York.	Liomin, Louis-Augustin	1794	['Translation']	['Title page']	['French']		['Translated from the French of M. Liomin.']
432910	Memoirs of the year two thousand five hundred. Translated from the French, by W. Hooper, M.A.	Mercier, Louis-SeÌbastien	1795	['Translation']	['Title page']	['French']		['Translated from the French,']
435903	The history of the renowned Prince Arthur, and his knights of the Round Table. Vol. I	Malory, Thomas	1816	['Translation']	['Introduction']	['French', 'Welch']		['Sir Thomas Malory was the author or compiler of this work, and [...] seems to have compiled it out of several manuscripts written in the French and Welch tongues [...]']
